Date_Time,squeeze,predict_squeeze
2019-02-06 14:15:00,1,1
2019-02-06 14:30:00,1,1
2019-02-06 14:45:00,1,1
2019-02-06 15:00:00,1,1
2019-02-07 08:45:00,1,1
2019-02-07 09:00:00,0,1
2019-02-07 09:15:00,0,1
2019-02-07 09:30:00,0,1
2019-02-07 09:45:00,0,0
2019-02-07 10:00:00,0,0
2019-02-07 10:15:00,0,0
2019-02-07 10:30:00,0,0
2019-02-07 10:45:00,0,0
2019-02-07 11:00:00,0,0
2019-02-07 11:15:00,0,0
2019-02-07 11:30:00,0,0
2019-02-07 11:45:00,0,0
2019-02-07 12:00:00,0,1
2019-02-07 12:15:00,0,0
2019-02-07 12:30:00,0,0
2019-02-07 12:45:00,0,1
2019-02-07 13:00:00,0,0
2019-02-07 13:15:00,0,0
2019-02-07 13:30:00,1,0
2019-02-07 13:45:00,1,0
2019-02-07 14:00:00,1,1
2019-02-07 14:15:00,1,1
2019-02-07 14:30:00,1,1
2019-02-07 14:45:00,1,1
2019-02-07 15:00:00,1,0
2019-02-08 08:45:00,1,0
2019-02-08 09:00:00,1,0
2019-02-08 09:15:00,1,0
2019-02-08 09:30:00,0,0
2019-02-08 09:45:00,0,0
2019-02-08 10:00:00,0,0
2019-02-08 10:15:00,0,0
2019-02-08 10:30:00,0,0
2019-02-08 10:45:00,0,0
2019-02-08 11:00:00,0,1
2019-02-08 11:15:00,0,1
2019-02-08 11:30:00,0,1
2019-02-08 11:45:00,0,1
2019-02-08 12:00:00,0,1
2019-02-08 12:15:00,0,1
2019-02-08 12:30:00,0,1
2019-02-08 12:45:00,0,1
2019-02-08 13:00:00,0,1
2019-02-08 13:15:00,0,1
2019-02-08 13:30:00,1,1
2019-02-08 13:45:00,1,1
2019-02-08 14:00:00,1,1
2019-02-08 14:15:00,0,1
2019-02-08 14:30:00,0,1
2019-02-08 14:45:00,0,1
2019-02-08 15:00:00,1,1
2019-02-11 08:45:00,0,1
2019-02-11 09:00:00,0,1
2019-02-11 09:15:00,0,1
2019-02-11 09:30:00,0,1
2019-02-11 09:45:00,0,1
2019-02-11 10:00:00,0,1
2019-02-11 10:15:00,0,1
2019-02-11 10:30:00,0,1
2019-02-11 10:45:00,0,1
2019-02-11 11:00:00,0,1
2019-02-11 11:15:00,1,1
2019-02-11 11:30:00,1,1
2019-02-11 11:45:00,1,1
2019-02-11 12:00:00,1,1
2019-02-11 12:15:00,1,1
2019-02-11 12:30:00,1,1
2019-02-11 12:45:00,1,1
2019-02-11 13:00:00,1,1
2019-02-11 13:15:00,1,1
2019-02-11 13:30:00,1,1
2019-02-11 13:45:00,1,1
2019-02-11 14:00:00,1,1
2019-02-11 14:15:00,1,1
2019-02-11 14:30:00,1,1
2019-02-11 14:45:00,1,1
2019-02-11 15:00:00,1,1
2019-02-12 08:45:00,0,1
2019-02-12 09:00:00,0,1
2019-02-12 09:15:00,0,0
2019-02-12 09:30:00,0,0
2019-02-12 09:45:00,0,0
2019-02-12 10:00:00,0,0
2019-02-12 10:15:00,0,1
2019-02-12 10:30:00,0,0
2019-02-12 10:45:00,0,1
2019-02-12 11:00:00,0,1
2019-02-12 11:15:00,0,1
2019-02-12 11:30:00,0,1
2019-02-12 11:45:00,0,1
2019-02-12 12:00:00,0,1
2019-02-12 12:15:00,0,1
2019-02-12 12:30:00,0,1
2019-02-12 12:45:00,0,1
2019-02-12 13:00:00,0,1
2019-02-12 13:15:00,0,0
2019-02-12 13:30:00,1,1
2019-02-12 13:45:00,0,1
2019-02-12 14:00:00,0,1
2019-02-12 14:15:00,0,1
2019-02-12 14:30:00,0,1
2019-02-12 14:45:00,1,0
2019-02-12 15:00:00,1,0
2019-02-13 08:45:00,0,0
2019-02-13 09:00:00,0,0
2019-02-13 09:15:00,0,0
2019-02-13 09:30:00,0,0
2019-02-13 09:45:00,0,1
2019-02-13 10:00:00,0,1
2019-02-13 10:15:00,0,1
2019-02-13 10:30:00,0,1
2019-02-13 10:45:00,0,1
2019-02-13 11:00:00,0,1
2019-02-13 11:15:00,0,1
2019-02-13 11:30:00,0,1
2019-02-13 11:45:00,0,1
2019-02-13 12:00:00,0,1
2019-02-13 12:15:00,0,1
2019-02-13 12:30:00,0,1
2019-02-13 12:45:00,0,1
2019-02-13 13:00:00,0,1
2019-02-13 13:15:00,1,1
2019-02-13 13:30:00,1,1
2019-02-13 13:45:00,1,1
2019-02-13 14:00:00,1,1
2019-02-13 14:15:00,1,1
2019-02-13 14:30:00,1,1
2019-02-13 14:45:00,1,1
2019-02-13 15:00:00,1,1
2019-02-14 08:45:00,0,0
2019-02-14 09:00:00,0,0
2019-02-14 09:15:00,0,0
2019-02-14 09:30:00,0,0
2019-02-14 09:45:00,0,0
2019-02-14 10:00:00,0,0
2019-02-14 10:15:00,0,0
2019-02-14 10:30:00,0,0
2019-02-14 10:45:00,0,0
2019-02-14 11:00:00,0,1
2019-02-14 11:15:00,0,1
2019-02-14 11:30:00,0,1
2019-02-14 11:45:00,0,1
2019-02-14 12:00:00,0,1
2019-02-14 12:15:00,0,0
2019-02-14 12:30:00,0,1
2019-02-14 12:45:00,0,1
2019-02-14 13:00:00,0,1
2019-02-14 13:15:00,0,1
2019-02-14 13:30:00,0,0
2019-02-14 13:45:00,0,1
2019-02-14 14:00:00,0,0
2019-02-14 14:15:00,0,1
2019-02-14 14:30:00,0,0
2019-02-14 14:45:00,0,1
2019-02-14 15:00:00,0,0
2019-02-15 08:45:00,0,0
2019-02-15 09:00:00,0,0
2019-02-15 09:15:00,0,0
2019-02-15 09:30:00,0,0
2019-02-15 09:45:00,0,0
2019-02-15 10:00:00,0,0
2019-02-15 10:15:00,0,0
2019-02-15 10:30:00,0,0
2019-02-15 10:45:00,0,0
2019-02-15 11:00:00,0,0
2019-02-15 11:15:00,0,1
2019-02-15 11:30:00,0,0
2019-02-15 11:45:00,0,0
2019-02-15 12:00:00,0,1
2019-02-15 12:15:00,0,0
2019-02-15 12:30:00,0,0
2019-02-15 12:45:00,0,1
2019-02-15 13:00:00,0,1
2019-02-15 13:15:00,0,1
2019-02-15 13:30:00,1,1
2019-02-15 13:45:00,1,1
2019-02-15 14:00:00,1,1
2019-02-15 14:15:00,1,1
2019-02-15 14:30:00,1,1
2019-02-15 14:45:00,1,0
2019-02-15 15:00:00,1,0
2019-02-19 08:45:00,0,0
2019-02-19 09:00:00,0,0
2019-02-19 09:15:00,0,0
2019-02-19 09:30:00,0,0
2019-02-19 09:45:00,0,0
2019-02-19 10:00:00,0,0
2019-02-19 10:15:00,0,0
2019-02-19 10:30:00,0,0
2019-02-19 10:45:00,0,0
2019-02-19 11:00:00,0,0
2019-02-19 11:15:00,0,0
2019-02-19 11:30:00,0,0
2019-02-19 11:45:00,0,1
2019-02-19 12:00:00,0,1
2019-02-19 12:15:00,0,1
2019-02-19 12:30:00,0,1
2019-02-19 12:45:00,0,0
2019-02-19 13:00:00,0,0
2019-02-19 13:15:00,0,1
2019-02-19 13:30:00,0,1
2019-02-19 13:45:00,0,1
2019-02-19 14:00:00,0,0
2019-02-19 14:15:00,0,1
2019-02-19 14:30:00,0,0
2019-02-19 14:45:00,0,1
2019-02-19 15:00:00,0,0
2019-02-20 08:45:00,0,0
2019-02-20 09:00:00,0,0
2019-02-20 09:15:00,0,0
2019-02-20 09:30:00,0,1
2019-02-20 09:45:00,0,0
2019-02-20 10:00:00,0,0
2019-02-20 10:15:00,0,1
2019-02-20 10:30:00,1,1
2019-02-20 10:45:00,1,1
2019-02-20 11:00:00,1,1
2019-02-20 11:15:00,1,1
2019-02-20 11:30:00,1,1
2019-02-20 11:45:00,1,1
2019-02-20 12:00:00,1,0
2019-02-20 12:15:00,1,1
2019-02-20 12:30:00,1,1
2019-02-20 12:45:00,1,1
2019-02-20 13:00:00,1,1
2019-02-20 13:15:00,1,1
2019-02-20 13:30:00,1,0
2019-02-20 13:45:00,1,1
2019-02-20 14:00:00,1,0
2019-02-20 14:15:00,1,1
2019-02-20 14:30:00,1,1
2019-02-20 14:45:00,1,1
2019-02-20 15:00:00,1,0
2019-02-21 08:45:00,1,0
2019-02-21 09:00:00,1,0
2019-02-21 09:15:00,1,0
2019-02-21 09:30:00,1,0
2019-02-21 09:45:00,1,0
2019-02-21 10:00:00,1,0
2019-02-21 10:15:00,1,1
2019-02-21 10:30:00,1,0
2019-02-21 10:45:00,1,1
2019-02-21 11:00:00,1,1
2019-02-21 11:15:00,1,1
2019-02-21 11:30:00,1,1
2019-02-21 11:45:00,1,1
2019-02-21 12:00:00,1,1
2019-02-21 12:15:00,1,1
2019-02-21 12:30:00,1,1
2019-02-21 12:45:00,1,0
2019-02-21 13:00:00,1,1
2019-02-21 13:15:00,1,1
2019-02-21 13:30:00,1,1
2019-02-21 13:45:00,1,1
2019-02-21 14:00:00,1,1
2019-02-21 14:15:00,1,1
2019-02-21 14:30:00,1,1
2019-02-21 14:45:00,1,1
2019-02-21 15:00:00,1,0
2019-02-22 08:45:00,1,0
2019-02-22 09:00:00,1,0
2019-02-22 09:15:00,1,0
2019-02-22 09:30:00,1,0
2019-02-22 09:45:00,1,0
2019-02-22 10:00:00,1,0
2019-02-22 10:15:00,1,0
2019-02-22 10:30:00,1,1
2019-02-22 10:45:00,1,0
2019-02-22 11:00:00,1,1
2019-02-22 11:15:00,1,1
2019-02-22 11:30:00,1,1
2019-02-22 11:45:00,1,1
2019-02-22 12:00:00,1,1
2019-02-22 12:15:00,1,1
2019-02-22 12:30:00,1,1
2019-02-22 12:45:00,1,1
2019-02-22 13:00:00,1,0
2019-02-22 13:15:00,1,0
2019-02-22 13:30:00,1,0
2019-02-22 13:45:00,0,1
2019-02-22 14:00:00,0,0
2019-02-22 14:15:00,0,1
2019-02-22 14:30:00,0,1
2019-02-22 14:45:00,0,1
2019-02-22 15:00:00,0,0
2019-02-25 08:45:00,0,0
2019-02-25 09:00:00,0,0
2019-02-25 09:15:00,0,0
2019-02-25 09:30:00,0,0
2019-02-25 09:45:00,0,1
2019-02-25 10:00:00,0,1
2019-02-25 10:15:00,0,1
2019-02-25 10:30:00,0,1
2019-02-25 10:45:00,0,1
2019-02-25 11:00:00,0,0
2019-02-25 11:15:00,0,1
2019-02-25 11:30:00,0,1
2019-02-25 11:45:00,0,1
2019-02-25 12:00:00,0,1
2019-02-25 12:15:00,0,1
2019-02-25 12:30:00,0,0
2019-02-25 12:45:00,0,0
2019-02-25 13:00:00,0,0
2019-02-25 13:15:00,0,1
2019-02-25 13:30:00,1,1
2019-02-25 13:45:00,0,1
2019-02-25 14:00:00,0,0
2019-02-25 14:15:00,0,1
2019-02-25 14:30:00,0,1
2019-02-25 14:45:00,0,0
2019-02-25 15:00:00,0,0
2019-02-26 08:45:00,0,0
2019-02-26 09:00:00,0,0
2019-02-26 09:15:00,0,0
2019-02-26 09:30:00,0,0
2019-02-26 09:45:00,0,0
2019-02-26 10:00:00,0,0
2019-02-26 10:15:00,0,0
2019-02-26 10:30:00,0,0
2019-02-26 10:45:00,0,0
2019-02-26 11:00:00,0,0
2019-02-26 11:15:00,0,0
2019-02-26 11:30:00,0,1
2019-02-26 11:45:00,0,1
2019-02-26 12:00:00,0,0
2019-02-26 12:15:00,0,0
2019-02-26 12:30:00,0,1
2019-02-26 12:45:00,0,1
2019-02-26 13:00:00,0,0
2019-02-26 13:15:00,0,1
2019-02-26 13:30:00,1,0
2019-02-26 13:45:00,1,0
2019-02-26 14:00:00,1,0
2019-02-26 14:15:00,1,0
2019-02-26 14:30:00,1,0
2019-02-26 14:45:00,0,0
2019-02-26 15:00:00,0,0
2019-02-27 08:45:00,0,0
2019-02-27 09:00:00,1,0
2019-02-27 09:15:00,1,0
2019-02-27 09:30:00,1,0
2019-02-27 09:45:00,1,0
2019-02-27 10:00:00,1,0
2019-02-27 10:15:00,1,0
2019-02-27 10:30:00,1,0
2019-02-27 10:45:00,1,0
2019-02-27 11:00:00,1,1
2019-02-27 11:15:00,1,1
2019-02-27 11:30:00,1,1
2019-02-27 11:45:00,1,1
2019-02-27 12:00:00,1,1
2019-02-27 12:15:00,1,1
2019-02-27 12:30:00,1,1
2019-02-27 12:45:00,1,1
2019-02-27 13:00:00,1,1
2019-02-27 13:15:00,1,1
2019-02-27 13:30:00,1,1
2019-02-27 13:45:00,1,1
2019-02-27 14:00:00,1,1
2019-02-27 14:15:00,1,1
2019-02-27 14:30:00,1,0
