open,high,low,close,volume
2020-10-07 09:45:00-04:00,100.04,100.26,99.84,99.94,71371
2020-10-07 10:00:00-04:00,99.87,100.04,99.61,99.8,47304
2020-10-07 10:15:00-04:00,99.8,100.34,99.8,100.17,110678
2020-10-07 10:30:00-04:00,100.12,100.32,99.79,99.79,86813
2020-10-07 10:45:00-04:00,99.79,99.84,99.58,99.58,26047
2020-10-07 11:00:00-04:00,99.56,99.59,99.32,99.37,30374
2020-10-07 11:15:00-04:00,99.41,99.41,99.07,99.17,40235
2020-10-07 11:30:00-04:00,99.205,99.205,98.97,99.05,28625
2020-10-07 11:45:00-04:00,99.11,99.11,98.87,98.955,33182
2020-10-07 12:00:00-04:00,98.99,99.01,98.735,98.82,22523
2020-10-07 12:15:00-04:00,98.82,99.095,98.81,98.91,18568
2020-10-07 12:30:00-04:00,98.9,99.01,98.845,98.88,21894
2020-10-07 12:45:00-04:00,98.87,98.9,98.67,98.78,28638
2020-10-07 13:00:00-04:00,98.78,99.0,98.75,98.87,22182
2020-10-07 13:15:00-04:00,98.885,99.035,98.835,98.97,22436
2020-10-07 13:30:00-04:00,99.04,99.07,98.81,99.05,31898
2020-10-07 13:45:00-04:00,98.98,99.115,98.98,99.01,19487
2020-10-07 14:00:00-04:00,99.025,99.28,99.02,99.17,29315
2020-10-07 14:15:00-04:00,99.23,99.52,99.22,99.5,30099
2020-10-07 14:30:00-04:00,99.49,99.565,99.385,99.445,34475
2020-10-07 14:45:00-04:00,99.49,99.53,99.42,99.48,22451
2020-10-07 15:00:00-04:00,99.45,99.75,99.45,99.73,31145
2020-10-07 15:15:00-04:00,99.74,99.96,99.725,99.95,73523
2020-10-07 15:30:00-04:00,99.96,99.96,99.705,99.84,59883
2020-10-07 15:45:00-04:00,99.88,100.19,99.71,99.72,218136
2020-10-08 08:00:00-04:00,100.19,100.19,100.19,100.19,200
2020-10-08 09:15:00-04:00,100.21,100.5,100.21,100.5,554
2020-10-08 09:30:00-04:00,100.5,100.865,100.29,100.58,83883
2020-10-08 09:45:00-04:00,100.56,100.94,100.35,100.9,42020
2020-10-08 10:00:00-04:00,100.91,101.22,100.71,101.21,37381
2020-10-08 10:15:00-04:00,101.21,101.61,101.17,101.59,42513
2020-10-08 10:30:00-04:00,101.57,101.79,101.4,101.4,135528
2020-10-08 10:45:00-04:00,101.41,101.71,101.24,101.275,23361
2020-10-08 11:00:00-04:00,101.3,101.3,100.92,101.0,25164
2020-10-08 11:15:00-04:00,101.01,101.08,100.375,100.375,38688
2020-10-08 11:30:00-04:00,100.385,100.45,99.895,100.425,97942
2020-10-08 11:45:00-04:00,100.43,100.559,100.22,100.42,35063
2020-10-08 12:00:00-04:00,100.43,100.62,100.36,100.62,14318
2020-10-08 12:15:00-04:00,100.64,100.8,100.61,100.795,18155
2020-10-08 12:30:00-04:00,100.82,101.06,100.82,100.93,31911
2020-10-08 12:45:00-04:00,100.95,101.11,100.9,101.11,20180
2020-10-08 13:00:00-04:00,101.02,101.285,100.99,101.28,30992
